location,estimate_type,year,grilse,adults,totals
Hatchery Spawners Subtotals,Spawner Escapement,1996,10420.0,10797.0,221.0
Hatchery Spawners Subtotals,Spawner Escapement,1997,9809.0,10030.0,205.0
Hatchery Spawners Subtotals,Spawner Escapement,1998,6630.0,6835.0,
Hatchery Spawners Subtotals,Spawner Escapement,1996,,,
Hatchery Spawners Subtotals,Spawner Escapement,1997,,,
Hatchery Spawners Subtotals,Spawner Escapement,1998,,,
Hatchery Spawners Subtotals,Spawner Escapement,1996,,,
Hatchery Spawners Subtotals,Spawner Escapement,1997,,,
Hatchery Spawners Subtotals,Spawner Escapement,1998,,,
Hatchery Spawners Subtotals,Spawner Escapement,1996,,,
Hatchery Spawners Subtotals,Spawner Escapement,1997,,,
Hatchery Spawners Subtotals,Spawner Escapement,1998,,,
Hatchery Spawners Subtotals,Spawner Escapement,1996,,,
Hatchery Spawners Subtotals,Spawner Escapement,1997,,,6174.0
Hatchery Spawners Subtotals,Spawner Escapement,1998,81326.0,87500.0,4225.0
Hatchery Spawners Subtotals,Spawner Escapement,1996,46144.0,50369.0,2855.0
Hatchery Spawners Subtotals,Spawner Escapement,1997,42488.0,45343.0,
Hatchery Spawners Subtotals,Spawner Escapement,1998,6966.0,101359.0,108325.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1999,4830.0,9290.0,14120.0
Iron Gate Hatchery  (IGH),Spawner Escapement,2000,839.0,71635.0,72474.0
Iron Gate Hatchery  (IGH),Spawner Escapement,2001,1364.0,37204.0,38568.0
Trinity River Hatchery (TRH),Spawner Escapement,1999,2027.0,5037.0,7064.0
Trinity River Hatchery (TRH),Spawner Escapement,2000,1070.0,25976.0,27046.0
Trinity River Hatchery (TRH),Spawner Escapement,2001,267.0,17908.0,18175.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,,6857.0,14327.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,21184.0,1909.0,97611.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,99520.0,1631.0,55112.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,56743.0,,
Hatchery Spawners Subtotals,Spawner Escapement,2000,,630.0,1978.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,2608.0,184.0,3271.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,3455.0,1016.0,9832.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,10848.0,,110.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,670.0,780.0,228.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,1544.0,1772.0,743.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,2607.0,3350.0,
Hatchery Spawners Subtotals,Spawner Escapement,2001,563.0,3021.0,3584.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,524.0,5729.0,6253.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,744.0,5398.0,6142.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,,1901.0,1296.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,3197.0,1271.0,11025.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,12296.0,2641.0,8452.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,11093.0,,2628.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,3537.0,6165.0,373.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,34678.0,35051.0,648.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,11927.0,12575.0,
Hatchery Spawners Subtotals,Spawner Escapement,1999,,251.0,777.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,1028.0,158.0,1345.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,1503.0,538.0,2240.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,2778.0,,210.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,381.0,591.0,153.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,796.0,949.0,48.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,488.0,536.0,
Hatchery Spawners Subtotals,Spawner Escapement,2000,6293.0,11660.0,17953.0
Hatchery Spawners Subtotals,Spawner Escapement,2001,2891.0,58388.0,61279.0
Hatchery Spawners Subtotals,Spawner Escapement,1999,6378.0,40944.0,47322.0
Hatchery Spawners Subtotals,Spawner Escapement,2000,,,4154.0
