fiscal_year,month,pond,mortality,type,age,starting_count
2025,Jan,P10,3,pond,2/other,3000
2025,Jan,B4,3,pond,0/wild/other,NA
2025,Jan,P9,1,pond,1/other,401
2025,Jan,P10,2,pond,2/other,3000
2025,Jan,P9,1,pond,1/other,401
2025,Jan,B4,1,pond,0/wild/other,NA
2025,Jan,P10,2,pond,2/other,3000
2025,Jan,P6,3,pond,1/4,266
2025,Jan,P10,1,pond,2/other,3000
2025,Jan,P12,1,pond,1/other,3027
2025,Jan,B4,1,pond,0/wild/other,NA
2025,Jan,P4,1,pond,1/4,91
2025,Jan,P5,1,pond,1/4,262
2025,Jan,P13,2,pond,1/other,3012
2025,Jan,P10,1,pond,2/other,3000
2025,Jan,C3,2,pond,1/wild,NA
2025,Jan,B3,1,pond,0/wild,NA
2025,Jan,P13,1,pond,1/other,3012
2025,Jan,P9,2,pond,1/other,401
2025,Jan,P10,1,pond,2/other,3000
2025,Jan,P9,2,pond,1/other,401
2025,Jan,P10,1,pond,2/other,3000
2025,Jan,P9,3,pond,1/other,401
2025,Jan,P10,2,pond,2/other,3000
2025,Jan,P12,3,pond,1/other,3027
2025,Jan,P9,1,pond,1/other,401
2025,Jan,P9,2,pond,1/other,401
2025,Jan,P10,1,pond,2/other,3000
2025,Jan,P9,5,pond,1/other,401
2025,Jan,P10,3,pond,2/other,3000
2025,Jan,P12,1,pond,1/other,3027
2025,Jan,P13,1,pond,1/other,3012
2025,Feb,P9,2,pond,1/other,401
2025,Feb,P10,4,pond,2/other,3000
2025,Feb,P9,4,pond,1/other,401
2025,Feb,P10,2,pond,2/other,3000
2025,Feb,P12,2,pond,1/other,3027
2025,Feb,P10,1,pond,2/other,3000
2025,Feb,P9,1,pond,1/other,401
2025,Feb,P9,2,pond,1/other,401
2025,Feb,P13,2,pond,1/other,3012
2025,Feb,C6,1,pond,1/other,NA
2025,Feb,P9,2,pond,1/other,401
2025,Feb,P13,2,pond,1/other,3012
2025,Feb,P9,3,pond,1/other,401
2025,Feb,P10,1,pond,2/other,3000
2025,Feb,P13,2,pond,1/other,3012
2025,Feb,P9,1,pond,1/other,401
2025,Feb,C6,4,pond,1/other,NA
2025,Feb,P9,1,pond,1/other,401
2025,Feb,P10,1,pond,2/other,3000
2025,Feb,C5,2,pond,0/2/wild,908
2025,Feb,C3,77,pond,1/wild,NA
2025,Feb,B2,1,pond,0/wild/other,NA
2025,Feb,C5,11,pond,0/2/wild,908
2025,Feb,C3,15,pond,1/wild,NA
2025,Feb,B2,2,pond,0/wild/other,NA
2025,Feb,P9,1,pond,1/other,401
2025,Feb,B4,3,pond,0/wild/other,NA
2025,Feb,P10,1,pond,2/other,3000
2025,Feb,C5,1,pond,0/2/wild,908
2025,Feb,B3,1,pond,0/wild,NA
2025,Mar,P10,2,pond,2/other,3000
2025,Mar,C5,2,pond,0/2/wild,908
2025,Mar,C5,2,pond,0/2/wild,908
2025,Mar,P1,1,pond,3/other,86
2025,Mar,C5,1,pond,0/2/wild,908
2025,Mar,C6,1,pond,1/other,NA
2025,Mar,P1,1,pond,3/other,86
2025,Mar,P13,12,pond,1/other,3012
2025,Mar,C3,9,pond,1/wild,NA
2025,Mar,C5,10,pond,0/2/wild,908
